customer_state,total_revenue,total_customers
SP,5067633.16,40501
RJ,1759651.13,12350
MG,1552481.83,11354
RS,728897.47,5345
PR,666063.51,4923
SC,507012.13,3546
BA,493584.14,3256
DF,296498.41,2080
GO,282836.7,1957
ES,268643.45,1995
PE,251889.49,1593
CE,219757.38,1279
PA,174470.59,946
MT,152191.62,886
MA,117009.38,717
MS,115429.97,701
PB,112586.82,517
PI,84721.0,476
RN,82105.66,474
AL,78855.72,397
SE,56574.19,335
TO,48402.51,274
RO,45682.76,243
AM,22155.84,145
AC,15930.97,80
AP,13374.81,67
RR,7057.47,41